iter	Passed	Remaining
0	56	5638
1	57	2803
2	57	1857
3	57	1384
4	57	1100
5	58	910
6	58	774
7	58	672
8	58	593
9	58	530
10	59	478
11	59	435
12	59	399
13	59	367
14	60	340
15	60	316
16	60	295
17	60	276
18	60	259
19	61	244
20	61	230
21	61	217
22	61	206
23	61	195
24	62	186
25	62	177
26	62	168
27	62	160
28	62	153
29	62	146
30	63	140
31	63	134
32	63	128
33	63	123
34	63	118
35	64	113
36	64	109
37	64	105
38	64	101
39	64	97
40	64	93
41	65	89
42	65	86
43	65	83
44	65	80
45	65	77
46	66	74
47	66	71
48	66	69
49	66	66
50	66	64
51	67	61
52	67	59
53	67	57
54	67	55
55	67	53
56	68	51
57	68	49
58	68	47
59	68	45
60	68	44
61	69	42
62	69	40
63	69	39
64	69	37
65	69	35
66	70	34
67	70	33
68	70	31
69	70	30
70	70	28
71	70	27
72	71	26
73	71	25
74	71	23
75	71	22
76	71	21
77	72	20
78	72	19
79	72	18
80	72	17
81	72	15
82	73	14
83	73	13
84	73	12
85	73	12
86	73	11
87	74	10
88	74	9
89	74	8
90	74	7
91	74	6
92	75	5
93	75	4
94	75	3
95	75	3
96	75	2
97	76	1
98	76	0
99	76	0
