iter	Passed	Remaining
0	57	57914
1	58	29052
2	58	19425
3	58	14609
4	58	11719
5	59	9793
6	59	8417
7	59	7384
8	59	6581
9	59	5938
10	60	5412
11	60	4975
12	60	4603
13	60	4287
14	61	4014
15	61	3773
16	61	3560
17	61	3373
18	62	3208
19	62	3056
20	62	2917
21	62	2791
22	63	2676
23	63	2571
24	63	2473
25	63	2383
26	63	2300
27	64	2223
28	64	2151
29	64	2084
30	64	2021
31	64	1962
32	65	1907
33	65	1855
34	65	1808
35	65	1761
36	65	1717
37	66	1675
38	66	1636
39	66	1598
40	66	1561
41	66	1527
42	67	1495
43	67	1464
44	67	1434
45	67	1406
46	68	1379
47	68	1353
48	68	1328
49	68	1305
50	68	1282
51	69	1259
52	69	1237
53	69	1217
54	69	1197
55	69	1178
56	70	1159
57	70	1141
58	70	1124
59	70	1107
60	70	1091
61	71	1075
62	71	1060
63	71	1046
64	71	1031
65	71	1018
66	72	1004
67	72	991
68	72	978
69	72	966
70	72	954
71	73	942
72	73	932
73	73	921
74	73	910
75	74	900
76	74	889
77	74	879
78	74	869
79	74	860
80	75	851
81	75	842
82	75	831
83	75	823
84	75	814
85	75	806
86	76	798
87	76	790
88	76	782
89	76	775
90	76	768
91	77	760
92	77	754
93	77	747
94	77	740
95	77	733
96	78	726
97	78	720
98	78	714
99	78	708
100	78	701
101	79	696
102	79	690
103	79	685
104	79	679
105	79	673
106	80	668
107	80	663
108	80	658
109	80	653
110	80	648
111	81	644
112	81	639
113	81	634
114	81	629
115	82	625
116	82	620
117	82	615
118	82	611
119	82	606
120	82	602
121	83	598
122	83	593
123	83	589
124	83	585
125	83	581
126	84	577
127	84	574
128	84	570
129	84	566
130	84	563
131	85	559
132	85	555
133	85	552
134	85	549
135	85	545
136	86	542
137	86	539
138	86	536
139	86	533
140	86	529
141	87	526
142	87	522
143	87	519
144	87	516
145	87	513
146	88	510
147	88	507
148	88	505
149	88	502
150	88	499
151	89	497
152	89	494
153	89	491
154	89	488
155	89	486
156	90	483
157	90	481
158	90	478
159	90	475
160	90	473
161	90	470
162	91	468
163	91	465
164	91	463
165	91	460
166	91	458
167	92	456
168	92	454
169	92	451
170	92	449
171	93	447
172	93	445
173	93	443
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	430
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	419
186	96	417
187	96	415
188	96	414
189	96	412
190	96	410
191	97	408
192	97	406
193	97	404
194	97	403
195	97	401
196	98	399
197	98	397
198	98	396
199	98	394
200	98	392
201	99	391
202	99	389
203	99	388
204	99	386
205	99	384
206	100	383
207	100	381
208	100	380
209	100	378
210	100	377
211	101	375
212	101	374
213	101	372
214	101	371
215	101	370
216	102	368
217	102	367
218	102	365
219	102	364
220	102	362
221	103	361
222	103	360
223	103	358
224	103	357
225	103	355
226	104	354
227	104	353
228	104	352
229	104	350
230	105	349
231	105	348
232	105	347
233	105	345
234	105	344
235	106	343
236	106	341
237	106	340
238	106	339
239	106	338
240	107	337
